countries,total_recovered,active_cases,total_cases_per_million,death_per_million,new_cases,total_cases,total_deaths,new_deaths
"
",47787.0,555376.0,0.0,0.0,1262.0,628326.0,0.0,51.0
"
",240117.0,601170.0,0.0,0.0,15674.0,923060.0,0.0,1784.0
"
",154300.0,149138.0,0.0,0.0,4767.0,315007.0,0.0,218.0
"
",9915.0,42975.0,0.0,0.0,476.0,55170.0,0.0,32.0
"
",4227.0,3560.0,0.0,0.0,58.0,7857.0,0.0,4.0
"
",3126.0,12330.0,0.0,0.0,352.0,16296.0,0.0,2.0
"
",639.0,68.0,0.0,0.0,0.0,721.0,0.0,0.0
Curaçao,10.0,3.0,85.0,6.0,0.0,14.0,0.0,0.0
Grenada,0.0,14.0,124.0,0.0,0.0,14.0,0.0,0.0
Botswana,0.0,12.0,6.0,0.4,0.0,13.0,0.0,0.0
Saint Kitts and Nevis,0.0,12.0,226.0,0.0,0.0,12.0,0.0,0.0
St. Vincent Grenadines,1.0,11.0,108.0,0.0,0.0,12.0,0.0,0.0
CAR,4.0,7.0,2.0,0.0,0.0,11.0,0.0,0.0
Greenland,11.0,0.0,194.0,0.0,0.0,11.0,0.0,0.0
Montserrat,1.0,10.0,2204.0,0.0,0.0,11.0,0.0,0.0
Seychelles,0.0,11.0,112.0,0.0,0.0,11.0,0.0,0.0
Sierra Leone,0.0,11.0,1.0,0.0,1.0,11.0,0.0,0.0
Cabo Verde,1.0,8.0,18.0,2.0,0.0,10.0,0.0,0.0
Suriname,6.0,3.0,17.0,2.0,0.0,10.0,0.0,0.0
Turks and Caicos,0.0,9.0,258.0,26.0,0.0,10.0,0.0,0.0
MS Zaandam,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0
Gambia,2.0,6.0,4.0,0.4,0.0,9.0,0.0,0.0
Nicaragua,4.0,4.0,1.0,0.2,0.0,9.0,0.0,0.0
Vatican City,2.0,6.0,9988.0,0.0,0.0,8.0,0.0,0.0
Mauritania,2.0,4.0,2.0,0.2,0.0,7.0,0.0,0.0
St. Barth,4.0,2.0,607.0,0.0,0.0,6.0,0.0,0.0
Timor-Leste,1.0,5.0,5.0,0.0,2.0,6.0,0.0,0.0
Western Sahara,0.0,6.0,10.0,0.0,0.0,6.0,0.0,0.0
Burundi,0.0,4.0,0.4,0.08,0.0,5.0,0.0,0.0
Bhutan,2.0,3.0,6.0,0.0,0.0,5.0,0.0,0.0
Falkland Islands,1.0,4.0,1437.0,0.0,0.0,5.0,0.0,0.0
